employeeId,projectId,from,to
1,101,2022-01-01,2022-02-28
2,102,2022-03-15,2022-04-30
3,103,2022-05-10,2022-06-20
4,101,2022-02-25,NULL
5,104,2022-09-05,2022-10-12
1,105,2022-11-03,2022-12-20
2,102,2023-01-10,NULL
3,103,2023-03-15,2023-04-30
4,101,2023-05-01,2023-06-15
5,104,2023-07-10,2023-08-20
5,104,2023-07-10,2023-08-20
1,101,2022-01-01,2022-02-28
2,102,2022-03-15,2022-04-30
3,103,2022-05-10,2022-06-20
4,101,2022-02-25,2022-02-28
6,104,2022-09-05,NULL
1,105,2022-11-03,2022-12-20
2,102,2023-01-10,2023-02-28
3,103,2023-03-15,2023-04-30
4,101,2023-05-01,NULL
5,104,2023-07-10,2023-08-20
5,104,2023-07-10,2023-08-20
6,106,2022-04-01,2022-05-15
7,107,2022-06-10,NULL
8,108,2022-08-15,2022-09-30
9,109,2022-11-20,2022-12-31
10,110,2023-01-05,2023-02-15
6,105,2022-12-01,2023-01-15
7,106,2023-03-10,2023-04-25
8,107,2023-05-15,2023-06-30
9,108,2023-06-20,2023-08-31
10,109,2023-09-05,2023-10-20
11,103,2022-01-01,NULL
